
[[4400, 690], [3673, 690], [621, 1029], [647, 846], [655, 641], [647, 433], [621, 251], [3689, 690], [4387, 690], [29477, 690], [-31709, 690], [529, 981], [559, 823], [570, 640], [560, 458], [530, 300], [3582, 690], [27034, 690], [262, 929], [-911, 690], [393, 873], [425, 768], [434, 641], [425, 513], [394, 406], [-965, 690], [261, 352], [235, 773], [274, 785], [305, 761], [326, 707], [334, 640], [327, 573], [305, 519], [274, 494], [235, 507], [254, 640]]
         1080919 function calls (1079765 primitive calls) in 3.048 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 socket.py:183(_socketobject)
        6    0.000    0.000    0.000    0.000 numeric.py:2428(seterr)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
       58    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        8    0.000    0.000    0.000    0.000 nonlin.py:221(_set_doc)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        4    0.000    0.000    0.001    0.000 warnings.py:49(filterwarnings)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        4    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       62    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
       42    0.000    0.000    0.000    0.000 collections.py:363(<genexpr>)
        2    0.000    0.000    0.016    0.008 machar.py:97(__init__)
       74    0.000    0.000    0.000    0.000 optimize.py:1706(set_bracket)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lobpcg.py:11(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       42    0.000    0.000    0.000    0.000 collections.py:361(<genexpr>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 common.py:4(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:459(_set_array_types)
       51    0.000    0.000    0.000    0.000 inspect.py:838(strseq)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
      159    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 newbytes.py:32(newbytes)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
       75    0.000    0.000    0.000    0.000 optimize.py:130(_check_unknown_options)
      106    0.000    0.000    0.000    0.000 sre_parse.py:221(isident)
        1    0.000    0.000    0.000    0.000 dome_projection.py:16(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       70    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
